Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Mass	Annotation	Reviewed	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs
P00490	PHSM_ECOLI	Maltodextrin phosphorylase (EC 2.4.1.1)	malP b3417 JW5689	Escherichia coli (strain K12)	797	malP	90522	5.0	reviewed	alpha-glucan catabolic process [GO:0030980]; glycogen catabolic process [GO:0005980]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycogen phosphorylase activity [GO:0008184]; maltodextrin phosphorylase activity [GO:0031220]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; alpha-glucan catabolic process [GO:0030980]; glycogen catabolic process [GO:0005980]	glycogen phosphorylase activity [GO:0008184]; maltodextrin phosphorylase activity [GO:0031220]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]	GO:0005737; GO:0005829; GO:0005980; GO:0008184; GO:0030170; GO:0030980; GO:0031220; GO:0042803
P00509	AAT_ECOLI	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	aspC b0928 JW0911	Escherichia coli (strain K12)	396	aspC	43573	5.0	reviewed	L-phenylalanine biosynthetic process [GO:0009094]; L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-tyrosine-2-oxoglutarate transaminase activity [GO:0004838]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; L-phenylalanine biosynthetic process [GO:0009094]; L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]	identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-tyrosine-2-oxoglutarate transaminase activity [GO:0004838]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]	GO:0004069; GO:0004838; GO:0005737; GO:0005829; GO:0009094; GO:0030170; GO:0033585; GO:0042802; GO:0042803
P00550	PTM3C_ECOLI	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]	mtlA b3599 JW3573	Escherichia coli (strain K12)	637	mtlA	67972	5.0	reviewed	mannitol transmembrane transport [GO:0015797]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; sorbitol transmembrane transport [GO:0015795]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity [GO:0022872]; protein-phosphocysteine-mannitol phosphotransferase system transporter activity [GO:0090565]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; mannitol transmembrane transport [GO:0015797]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; sorbitol transmembrane transport [GO:0015795]	kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity [GO:0022872]; protein-phosphocysteine-mannitol phosphotransferase system transporter activity [GO:0090565]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]	GO:0005886; GO:0009401; GO:0015795; GO:0015797; GO:0016301; GO:0022872; GO:0090563; GO:0090565
P00561	AK1H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	thrA thrA1 thrA2 b0002 JW0001	Escherichia coli (strain K12)	820	thrA	89120	5.0	reviewed	homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; protein homotetramerization [GO:0051289]; threonine biosynthetic process [GO:0009088]		aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]; NADP binding [GO:0050661]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; protein homotetramerization [GO:0051289]; threonine biosynthetic process [GO:0009088]	aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]; NADP binding [GO:0050661]	GO:0004072; GO:0004412; GO:0005524; GO:0009086; GO:0009088; GO:0009089; GO:0009090; GO:0042802; GO:0046872; GO:0050661; GO:0051289; GO:0070403
P00562	AK2H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	metL metM b3940 JW3911	Escherichia coli (strain K12)	810	metL	88888	5.0	reviewed	homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	cytosol [GO:0005829]	cytosol [GO:0005829]; aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]; NADP binding [GO:0050661]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]; NADP binding [GO:0050661]	GO:0004072; GO:0004412; GO:0005524; GO:0005829; GO:0009086; GO:0009088; GO:0009089; GO:0009090; GO:0046872; GO:0050661; GO:0070403
P00579	RPOD_ECOLI	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD alt b3067 JW3039	Escherichia coli (strain K12)	613	rpoD	70263	5.0	reviewed	DNA-templated transcription initiation [GO:0006352]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription initiation [GO:2000142]; response to heat [GO:0009408]	cytosol [GO:0005829]; cytosolic DNA-directed RNA polymerase complex [GO:0000345]; sigma factor antagonist complex [GO:1903865]	cytosol [GO:0005829]; cytosolic DNA-directed RNA polymerase complex [GO:0000345]; sigma factor antagonist complex [GO:1903865]; DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription initiation [GO:2000142]; response to heat [GO:0009408]	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]	GO:0000345; GO:0003677; GO:0005829; GO:0006352; GO:0009408; GO:0016987; GO:0045892; GO:1903865; GO:2000142
P00582	DPO1_ECOLI	DNA polymerase I (POL I) (EC 2.7.7.7)	polA resA b3863 JW3835	Escherichia coli (strain K12)	928	polA	103118	5.0	reviewed	base-excision repair [GO:0006284]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA-templated DNA replication [GO:0006261]; double-strand break repair [GO:0006302]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; 3'-5' exonuclease activity [GO:0008408]; 5'-3' exonuclease activity [GO:0008409]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; base-excision repair [GO:0006284]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA-templated DNA replication [GO:0006261]; double-strand break repair [GO:0006302]	3'-5' exonuclease activity [GO:0008408]; 5'-3' exonuclease activity [GO:0008409]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]	GO:0003677; GO:0003887; GO:0005737; GO:0005829; GO:0006260; GO:0006261; GO:0006281; GO:0006284; GO:0006302; GO:0008408; GO:0008409
P00634	PPB_ECOLI	Alkaline phosphatase (APase) (EC 3.1.3.1)	phoA b0383 JW0374	Escherichia coli (strain K12)	471	phoA	49439	5.0	reviewed	protein dephosphorylation [GO:0006470]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; alkaline phosphatase activity [GO:0004035]; hydrogenase (acceptor) activity [GO:0033748]; magnesium ion binding [GO:0000287]; oxidoreductase activity, acting on phosphorus or arsenic in donors [GO:0030613]; phosphoprotein phosphatase activity [GO:0004721]; zinc ion binding [GO:0008270]; protein dephosphorylation [GO:0006470]	alkaline phosphatase activity [GO:0004035]; hydrogenase (acceptor) activity [GO:0033748]; magnesium ion binding [GO:0000287]; oxidoreductase activity, acting on phosphorus or arsenic in donors [GO:0030613]; phosphoprotein phosphatase activity [GO:0004721]; zinc ion binding [GO:0008270]	GO:0000287; GO:0004035; GO:0004721; GO:0006470; GO:0008270; GO:0030288; GO:0030613; GO:0033748; GO:0042597
P00722	BGAL_ECOLI	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ b0344 JW0335	Escherichia coli (strain K12)	1024	lacZ	116483	5.0	reviewed	lactose catabolic process [GO:0005990]	beta-galactosidase complex [GO:0009341]	beta-galactosidase complex [GO:0009341]; alkali metal ion binding [GO:0031420]; beta-galactosidase activity [GO:0004565]; carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; lactose catabolic process [GO:0005990]	alkali metal ion binding [GO:0031420]; beta-galactosidase activity [GO:0004565]; carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0004565; GO:0005990; GO:0009341; GO:0030246; GO:0031420; GO:0042802
P00803	LEP_ECOLI	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	lepB b2568 JW2552	Escherichia coli (strain K12)	324	lepB	35960	5.0	reviewed	protein processing [GO:0016485]; proteolysis [GO:0006508]; signal peptide processing [GO:0006465]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; endopeptidase activity [GO:0004175]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; protein processing [GO:0016485]; proteolysis [GO:0006508]; signal peptide processing [GO:0006465]	endopeptidase activity [GO:0004175]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]	GO:0004175; GO:0004252; GO:0005886; GO:0006465; GO:0006508; GO:0008233; GO:0016485
P00804	LSPA_ECOLI	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA lsp b0027 JW0025	Escherichia coli (strain K12)	164	lspA	18156	5.0	reviewed	proteolysis [GO:0006508]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]; proteolysis [GO:0006508]	aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]	GO:0004175; GO:0004190; GO:0005886; GO:0006508
P00805	ASPG2_ECOLI	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	ansB b2957 JW2924	Escherichia coli (strain K12)	348	ansB	36851	5.0	reviewed	asparagine catabolic process [GO:0006530]; protein homotetramerization [GO:0051289]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; protein-containing complex [GO:0032991]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; protein-containing complex [GO:0032991]; asparaginase activity [GO:0004067]; identical protein binding [GO:0042802]; asparagine catabolic process [GO:0006530]; protein homotetramerization [GO:0051289]	asparaginase activity [GO:0004067]; identical protein binding [GO:0042802]	GO:0004067; GO:0006530; GO:0030288; GO:0032991; GO:0042597; GO:0042802; GO:0051289
P00811	AMPC_ECOLI	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase) (CSase)	ampC ampA b4150 JW4111	Escherichia coli (strain K12)	377	ampC	41556	5.0	reviewed	antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; beta-lactamase activity [GO:0008800]; antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]	GO:0008800; GO:0017001; GO:0030288; GO:0046677
P00861	DCDA_ECOLI	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA b2838 JW2806	Escherichia coli (strain K12)	420	lysA	46177	5.0	reviewed	lysine biosynthetic process via diaminopimelate [GO:0009089]		diaminopimelate decarboxylase activity [GO:0008836]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]; lysine biosynthetic process via diaminopimelate [GO:0009089]	diaminopimelate decarboxylase activity [GO:0008836]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]	GO:0008836; GO:0009089; GO:0030170; GO:0042803
P00864	CAPP_ECOLI	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc glu b3956 JW3928	Escherichia coli (strain K12)	883	ppc	99063	5.0	reviewed	carbon fixation [GO:0015977]; gluconeogenesis [GO:0006094]; oxaloacetate metabolic process [GO:0006107]; protein homotetramerization [GO:0051289]; tricarboxylic acid cycle [GO:0006099]	cytosol [GO:0005829]	cytosol [GO:0005829]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxylase activity [GO:0008964]; carbon fixation [GO:0015977]; gluconeogenesis [GO:0006094]; oxaloacetate metabolic process [GO:0006107]; protein homotetramerization [GO:0051289]; tricarboxylic acid cycle [GO:0006099]	identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxylase activity [GO:0008964]	GO:0000287; GO:0005829; GO:0006094; GO:0006099; GO:0006107; GO:0008964; GO:0015977; GO:0042802; GO:0051289
P00893	ILVI_ECOLI	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	ilvI b0077 JW0076	Escherichia coli (strain K12)	574	ilvI	62984	5.0	reviewed	branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase complex [GO:0005948]; cytosol [GO:0005829]	acetolactate synthase complex [GO:0005948]; cytosol [GO:0005829]; acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	GO:0000287; GO:0003984; GO:0005829; GO:0005948; GO:0009082; GO:0009097; GO:0009099; GO:0030976; GO:0050660
P00894	ILVH_ECOLI	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	ilvH brnP b0078 JW0077	Escherichia coli (strain K12)	163	ilvH	17977	5.0	reviewed	branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase complex [GO:0005948]; cytosol [GO:0005829]	acetolactate synthase complex [GO:0005948]; cytosol [GO:0005829]; acetolactate synthase activity [GO:0003984]; acetolactate synthase regulator activity [GO:1990610]; branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase activity [GO:0003984]; acetolactate synthase regulator activity [GO:1990610]	GO:0003984; GO:0005829; GO:0005948; GO:0009082; GO:0009097; GO:0009099; GO:1990610
